id_hotel_final,nombre_hotel,competencia,valoracion,id_ciudad
ID24,ibis Madrid Aeropuerto Barajas,True,4.4,1
ID16,Hotel Vista Alegre,False,2.9,1
ID11,Hotel Luz de Madrid,False,3.0,1
ID10,Hotel Palacio Imperial,False,3.0,1
ID24,ibis Madrid Aeropuerto Barajas,True,4.4,1
ID28,ibis budget Madrid Getafe,True,4.2,1
ID21,ibis budget Madrid Centro las Ventas,True,4.3,1
ID15,Hotel Rincón Sereno,False,3.0,1
ID1,Hotel Brisas del Mar,False,3.1,1
ID26,ibis budget Madrid Aeropuerto,True,4.0,1
ID13,Hotel Sol y Luna,False,3.0,1
ID21,ibis budget Madrid Centro las Ventas,True,4.3,1
ID16,Hotel Vista Alegre,False,2.9,1
ID25,ibis Madrid Alcorcon Tresaguas,True,4.4,1
ID3,Hotel Puerta del Cielo,False,3.0,1
ID10,Hotel Palacio Imperial,False,3.0,1
ID1,Hotel Brisas del Mar,False,3.1,1
ID17,Hotel Costa Azul,False,3.1,1
ID8,Gran Hotel Madrid,False,3.1,1
ID12,Hotel Los Almendros,False,3.0,1
ID2,Hotel Camino del Sol,False,3.1,1
ID19,ibis budget Madrid Calle 30,True,4.4,1
ID6,Hotel Jardines del Rey,False,2.9,1
ID5,Palacio del Sol,False,3.0,1
ID13,Hotel Sol y Luna,False,3.0,1
ID10,Hotel Palacio Imperial,False,3.0,1
ID24,ibis Madrid Aeropuerto Barajas,True,4.4,1
ID24,ibis Madrid Aeropuerto Barajas,True,4.4,1
ID18,Hotel Maravilla Real,False,3.0,1
ID12,Hotel Los Almendros,False,3.0,1
ID21,ibis budget Madrid Centro las Ventas,True,4.3,1
ID27,ibis Madrid Alcobendas,True,4.4,1
ID16,Hotel Vista Alegre,False,2.9,1
ID20,ibis Madrid Centro las Ventas,True,4.5,1
ID27,ibis Madrid Alcobendas,True,4.4,1
ID6,Hotel Jardines del Rey,False,2.9,1
ID8,Gran Hotel Madrid,False,3.1,1
ID9,Hotel Torre Dorada,False,2.9,1
ID28,ibis budget Madrid Getafe,True,4.2,1
ID14,Hotel Mirador Real,False,3.0,1
ID14,Hotel Mirador Real,False,3.0,1
ID7,Hotel Las Estrellas,False,2.9,1
ID23,ibis budget Madrid Vallecas,True,4.3,1
ID26,ibis budget Madrid Aeropuerto,True,4.0,1
ID27,ibis Madrid Alcobendas,True,4.4,1
ID19,ibis budget Madrid Calle 30,True,4.4,1
ID2,Hotel Camino del Sol,False,3.1,1
ID9,Hotel Torre Dorada,False,2.9,1
ID25,ibis Madrid Alcorcon Tresaguas,True,4.4,1
ID26,ibis budget Madrid Aeropuerto,True,4.0,1
ID28,ibis budget Madrid Getafe,True,4.2,1
ID18,Hotel Maravilla Real,False,3.0,1
ID27,ibis Madrid Alcobendas,True,4.4,1
ID3,Hotel Puerta del Cielo,False,3.0,1
ID17,Hotel Costa Azul,False,3.1,1
ID2,Hotel Camino del Sol,False,3.1,1
ID27,ibis Madrid Alcobendas,True,4.4,1
ID4,Hotel Encanto Real,False,3.0,1
ID4,Hotel Encanto Real,False,3.0,1
ID12,Hotel Los Almendros,False,3.0,1
ID1,Hotel Brisas del Mar,False,3.1,1
ID15,Hotel Rincón Sereno,False,3.0,1
ID17,Hotel Costa Azul,False,3.1,1
ID25,ibis Madrid Alcorcon Tresaguas,True,4.4,1
ID9,Hotel Torre Dorada,False,2.9,1
ID13,Hotel Sol y Luna,False,3.0,1
ID16,Hotel Vista Alegre,False,2.9,1
ID1,Hotel Brisas del Mar,False,3.1,1
ID3,Hotel Puerta del Cielo,False,3.0,1
ID8,Gran Hotel Madrid,False,3.1,1
ID25,ibis Madrid Alcorcon Tresaguas,True,4.4,1
ID15,Hotel Rincón Sereno,False,3.0,1
ID18,Hotel Maravilla Real,False,3.0,1
ID10,Hotel Palacio Imperial,False,3.0,1
ID18,Hotel Maravilla Real,False,3.0,1
ID8,Gran Hotel Madrid,False,3.1,1
ID23,ibis budget Madrid Vallecas,True,4.3,1
ID1,Hotel Brisas del Mar,False,3.1,1
ID22,ibis Madrid Calle Alcalá,True,4.5,1
ID17,Hotel Costa Azul,False,3.1,1
ID16,Hotel Vista Alegre,False,2.9,1
ID5,Palacio del Sol,False,3.0,1
ID4,Hotel Encanto Real,False,3.0,1
ID20,ibis Madrid Centro las Ventas,True,4.5,1
ID12,Hotel Los Almendros,False,3.0,1
ID22,ibis Madrid Calle Alcalá,True,4.5,1
ID23,ibis budget Madrid Vallecas,True,4.3,1
ID6,Hotel Jardines del Rey,False,2.9,1
ID6,Hotel Jardines del Rey,False,2.9,1
ID14,Hotel Mirador Real,False,3.0,1
ID11,Hotel Luz de Madrid,False,3.0,1
ID28,ibis budget Madrid Getafe,True,4.2,1
ID20,ibis Madrid Centro las Ventas,True,4.5,1
ID9,Hotel Torre Dorada,False,2.9,1
ID15,Hotel Rincón Sereno,False,3.0,1
ID26,ibis budget Madrid Aeropuerto,True,4.0,1
ID14,Hotel Mirador Real,False,3.0,1
ID13,Hotel Sol y Luna,False,3.0,1
ID25,ibis Madrid Alcorcon Tresaguas,True,4.4,1
ID15,Hotel Rincón Sereno,False,3.0,1
ID18,Hotel Maravilla Real,False,3.0,1
ID26,ibis budget Madrid Aeropuerto,True,4.0,1
ID6,Hotel Jardines del Rey,False,2.9,1
ID27,ibis Madrid Alcobendas,True,4.4,1
ID9,Hotel Torre Dorada,False,2.9,1
ID21,ibis budget Madrid Centro las Ventas,True,4.3,1
ID12,Hotel Los Almendros,False,3.0,1
ID25,ibis Madrid Alcorcon Tresaguas,True,4.4,1
ID28,ibis budget Madrid Getafe,True,4.2,1
ID9,Hotel Torre Dorada,False,2.9,1
ID28,ibis budget Madrid Getafe,True,4.2,1
ID8,Gran Hotel Madrid,False,3.1,1
ID14,Hotel Mirador Real,False,3.0,1
ID10,Hotel Palacio Imperial,False,3.0,1
ID4,Hotel Encanto Real,False,3.0,1
ID26,ibis budget Madrid Aeropuerto,True,4.0,1
ID3,Hotel Puerta del Cielo,False,3.0,1
ID6,Hotel Jardines del Rey,False,2.9,1
ID17,Hotel Costa Azul,False,3.1,1
ID6,Hotel Jardines del Rey,False,2.9,1
ID17,Hotel Costa Azul,False,3.1,1
ID14,Hotel Mirador Real,False,3.0,1
ID23,ibis budget Madrid Vallecas,True,4.3,1
ID6,Hotel Jardines del Rey,False,2.9,1
ID21,ibis budget Madrid Centro las Ventas,True,4.3,1
ID2,Hotel Camino del Sol,False,3.1,1
ID13,Hotel Sol y Luna,False,3.0,1
ID21,ibis budget Madrid Centro las Ventas,True,4.3,1
ID5,Palacio del Sol,False,3.0,1
ID2,Hotel Camino del Sol,False,3.1,1
ID14,Hotel Mirador Real,False,3.0,1
ID11,Hotel Luz de Madrid,False,3.0,1
ID4,Hotel Encanto Real,False,3.0,1
ID2,Hotel Camino del Sol,False,3.1,1
ID21,ibis budget Madrid Centro las Ventas,True,4.3,1
ID11,Hotel Luz de Madrid,False,3.0,1
ID11,Hotel Luz de Madrid,False,3.0,1
ID24,ibis Madrid Aeropuerto Barajas,True,4.4,1
ID21,ibis budget Madrid Centro las Ventas,True,4.3,1
ID20,ibis Madrid Centro las Ventas,True,4.5,1
ID27,ibis Madrid Alcobendas,True,4.4,1
ID23,ibis budget Madrid Vallecas,True,4.3,1
ID21,ibis budget Madrid Centro las Ventas,True,4.3,1
ID21,ibis budget Madrid Centro las Ventas,True,4.3,1
ID6,Hotel Jardines del Rey,False,2.9,1
ID1,Hotel Brisas del Mar,False,3.1,1
ID12,Hotel Los Almendros,False,3.0,1
ID19,ibis budget Madrid Calle 30,True,4.4,1
ID18,Hotel Maravilla Real,False,3.0,1
ID15,Hotel Rincón Sereno,False,3.0,1
ID27,ibis Madrid Alcobendas,True,4.4,1
ID8,Gran Hotel Madrid,False,3.1,1
ID3,Hotel Puerta del Cielo,False,3.0,1
ID16,Hotel Vista Alegre,False,2.9,1
ID12,Hotel Los Almendros,False,3.0,1
ID3,Hotel Puerta del Cielo,False,3.0,1
ID0,Hotel Monte Verde,False,3.1,1
ID19,ibis budget Madrid Calle 30,True,4.4,1
ID5,Palacio del Sol,False,3.0,1
ID0,Hotel Monte Verde,False,3.1,1
ID4,Hotel Encanto Real,False,3.0,1
ID2,Hotel Camino del Sol,False,3.1,1
ID2,Hotel Camino del Sol,False,3.1,1
ID2,Hotel Camino del Sol,False,3.1,1
ID8,Gran Hotel Madrid,False,3.1,1
ID0,Hotel Monte Verde,False,3.1,1
ID9,Hotel Torre Dorada,False,2.9,1
ID1,Hotel Brisas del Mar,False,3.1,1
ID2,Hotel Camino del Sol,False,3.1,1
ID9,Hotel Torre Dorada,False,2.9,1
ID16,Hotel Vista Alegre,False,2.9,1
ID28,ibis budget Madrid Getafe,True,4.2,1
ID12,Hotel Los Almendros,False,3.0,1
ID26,ibis budget Madrid Aeropuerto,True,4.0,1
ID25,ibis Madrid Alcorcon Tresaguas,True,4.4,1
ID28,ibis budget Madrid Getafe,True,4.2,1
ID12,Hotel Los Almendros,False,3.0,1
ID18,Hotel Maravilla Real,False,3.0,1
ID12,Hotel Los Almendros,False,3.0,1
ID5,Palacio del Sol,False,3.0,1
ID24,ibis Madrid Aeropuerto Barajas,True,4.4,1
ID6,Hotel Jardines del Rey,False,2.9,1
ID9,Hotel Torre Dorada,False,2.9,1
ID8,Gran Hotel Madrid,False,3.1,1
ID27,ibis Madrid Alcobendas,True,4.4,1
ID16,Hotel Vista Alegre,False,2.9,1
ID6,Hotel Jardines del Rey,False,2.9,1
ID0,Hotel Monte Verde,False,3.1,1
ID5,Palacio del Sol,False,3.0,1
ID18,Hotel Maravilla Real,False,3.0,1
ID16,Hotel Vista Alegre,False,2.9,1
ID17,Hotel Costa Azul,False,3.1,1
ID14,Hotel Mirador Real,False,3.0,1
ID8,Gran Hotel Madrid,False,3.1,1
ID3,Hotel Puerta del Cielo,False,3.0,1
ID13,Hotel Sol y Luna,False,3.0,1
ID10,Hotel Palacio Imperial,False,3.0,1
ID14,Hotel Mirador Real,False,3.0,1
ID17,Hotel Costa Azul,False,3.1,1
ID15,Hotel Rincón Sereno,False,3.0,1
ID16,Hotel Vista Alegre,False,2.9,1
ID5,Palacio del Sol,False,3.0,1
ID11,Hotel Luz de Madrid,False,3.0,1
ID26,ibis budget Madrid Aeropuerto,True,4.0,1
ID26,ibis budget Madrid Aeropuerto,True,4.0,1
ID25,ibis Madrid Alcorcon Tresaguas,True,4.4,1
ID23,ibis budget Madrid Vallecas,True,4.3,1
ID19,ibis budget Madrid Calle 30,True,4.4,1
ID25,ibis Madrid Alcorcon Tresaguas,True,4.4,1
ID18,Hotel Maravilla Real,False,3.0,1
ID2,Hotel Camino del Sol,False,3.1,1
ID7,Hotel Las Estrellas,False,2.9,1
ID27,ibis Madrid Alcobendas,True,4.4,1
ID14,Hotel Mirador Real,False,3.0,1
ID9,Hotel Torre Dorada,False,2.9,1
ID6,Hotel Jardines del Rey,False,2.9,1
ID19,ibis budget Madrid Calle 30,True,4.4,1
ID2,Hotel Camino del Sol,False,3.1,1
ID13,Hotel Sol y Luna,False,3.0,1
ID26,ibis budget Madrid Aeropuerto,True,4.0,1
ID6,Hotel Jardines del Rey,False,2.9,1
ID27,ibis Madrid Alcobendas,True,4.4,1
ID23,ibis budget Madrid Vallecas,True,4.3,1
ID16,Hotel Vista Alegre,False,2.9,1
ID8,Gran Hotel Madrid,False,3.1,1
ID14,Hotel Mirador Real,False,3.0,1
ID26,ibis budget Madrid Aeropuerto,True,4.0,1
ID5,Palacio del Sol,False,3.0,1
ID25,ibis Madrid Alcorcon Tresaguas,True,4.4,1
ID27,ibis Madrid Alcobendas,True,4.4,1
ID21,ibis budget Madrid Centro las Ventas,True,4.3,1
ID2,Hotel Camino del Sol,False,3.1,1
ID20,ibis Madrid Centro las Ventas,True,4.5,1
ID28,ibis budget Madrid Getafe,True,4.2,1
ID0,Hotel Monte Verde,False,3.1,1
ID9,Hotel Torre Dorada,False,2.9,1
ID2,Hotel Camino del Sol,False,3.1,1
ID9,Hotel Torre Dorada,False,2.9,1
ID7,Hotel Las Estrellas,False,2.9,1
ID27,ibis Madrid Alcobendas,True,4.4,1
ID28,ibis budget Madrid Getafe,True,4.2,1
ID8,Gran Hotel Madrid,False,3.1,1
ID6,Hotel Jardines del Rey,False,2.9,1
ID26,ibis budget Madrid Aeropuerto,True,4.0,1
ID28,ibis budget Madrid Getafe,True,4.2,1
ID7,Hotel Las Estrellas,False,2.9,1
ID2,Hotel Camino del Sol,False,3.1,1
ID26,ibis budget Madrid Aeropuerto,True,4.0,1
ID6,Hotel Jardines del Rey,False,2.9,1
ID7,Hotel Las Estrellas,False,2.9,1
ID20,ibis Madrid Centro las Ventas,True,4.5,1
ID23,ibis budget Madrid Vallecas,True,4.3,1
ID26,ibis budget Madrid Aeropuerto,True,4.0,1
ID26,ibis budget Madrid Aeropuerto,True,4.0,1
ID10,Hotel Palacio Imperial,False,3.0,1
ID24,ibis Madrid Aeropuerto Barajas,True,4.4,1
ID10,Hotel Palacio Imperial,False,3.0,1
ID28,ibis budget Madrid Getafe,True,4.2,1
ID6,Hotel Jardines del Rey,False,2.9,1
ID2,Hotel Camino del Sol,False,3.1,1
ID19,ibis budget Madrid Calle 30,True,4.4,1
ID25,ibis Madrid Alcorcon Tresaguas,True,4.4,1
ID26,ibis budget Madrid Aeropuerto,True,4.0,1
ID27,ibis Madrid Alcobendas,True,4.4,1
ID19,ibis budget Madrid Calle 30,True,4.4,1
ID9,Hotel Torre Dorada,False,2.9,1
ID17,Hotel Costa Azul,False,3.1,1
ID2,Hotel Camino del Sol,False,3.1,1
ID18,Hotel Maravilla Real,False,3.0,1
ID16,Hotel Vista Alegre,False,2.9,1
ID6,Hotel Jardines del Rey,False,2.9,1
ID4,Hotel Encanto Real,False,3.0,1
ID2,Hotel Camino del Sol,False,3.1,1
ID14,Hotel Mirador Real,False,3.0,1
ID21,ibis budget Madrid Centro las Ventas,True,4.3,1
ID13,Hotel Sol y Luna,False,3.0,1
ID9,Hotel Torre Dorada,False,2.9,1
ID5,Palacio del Sol,False,3.0,1
ID8,Gran Hotel Madrid,False,3.1,1
ID0,Hotel Monte Verde,False,3.1,1
ID25,ibis Madrid Alcorcon Tresaguas,True,4.4,1
ID22,ibis Madrid Calle Alcalá,True,4.5,1
ID4,Hotel Encanto Real,False,3.0,1
ID24,ibis Madrid Aeropuerto Barajas,True,4.4,1
ID15,Hotel Rincón Sereno,False,3.0,1
ID3,Hotel Puerta del Cielo,False,3.0,1
ID15,Hotel Rincón Sereno,False,3.0,1
ID8,Gran Hotel Madrid,False,3.1,1
ID26,ibis budget Madrid Aeropuerto,True,4.0,1
ID4,Hotel Encanto Real,False,3.0,1
ID11,Hotel Luz de Madrid,False,3.0,1
ID14,Hotel Mirador Real,False,3.0,1
ID8,Gran Hotel Madrid,False,3.1,1
ID11,Hotel Luz de Madrid,False,3.0,1
ID8,Gran Hotel Madrid,False,3.1,1
ID2,Hotel Camino del Sol,False,3.1,1
ID25,ibis Madrid Alcorcon Tresaguas,True,4.4,1
ID21,ibis budget Madrid Centro las Ventas,True,4.3,1
ID22,ibis Madrid Calle Alcalá,True,4.5,1
ID19,ibis budget Madrid Calle 30,True,4.4,1
ID8,Gran Hotel Madrid,False,3.1,1
ID14,Hotel Mirador Real,False,3.0,1
ID13,Hotel Sol y Luna,False,3.0,1
ID7,Hotel Las Estrellas,False,2.9,1
ID17,Hotel Costa Azul,False,3.1,1
ID20,ibis Madrid Centro las Ventas,True,4.5,1
ID11,Hotel Luz de Madrid,False,3.0,1
ID23,ibis budget Madrid Vallecas,True,4.3,1
ID20,ibis Madrid Centro las Ventas,True,4.5,1
ID23,ibis budget Madrid Vallecas,True,4.3,1
ID3,Hotel Puerta del Cielo,False,3.0,1
ID12,Hotel Los Almendros,False,3.0,1
ID27,ibis Madrid Alcobendas,True,4.4,1
ID3,Hotel Puerta del Cielo,False,3.0,1
ID19,ibis budget Madrid Calle 30,True,4.4,1
ID11,Hotel Luz de Madrid,False,3.0,1
ID21,ibis budget Madrid Centro las Ventas,True,4.3,1
ID8,Gran Hotel Madrid,False,3.1,1
ID1,Hotel Brisas del Mar,False,3.1,1
ID13,Hotel Sol y Luna,False,3.0,1
ID14,Hotel Mirador Real,False,3.0,1
ID28,ibis budget Madrid Getafe,True,4.2,1
ID5,Palacio del Sol,False,3.0,1
ID20,ibis Madrid Centro las Ventas,True,4.5,1
ID14,Hotel Mirador Real,False,3.0,1
ID8,Gran Hotel Madrid,False,3.1,1
ID23,ibis budget Madrid Vallecas,True,4.3,1
ID19,ibis budget Madrid Calle 30,True,4.4,1
ID6,Hotel Jardines del Rey,False,2.9,1
ID0,Hotel Monte Verde,False,3.1,1
ID5,Palacio del Sol,False,3.0,1
ID24,ibis Madrid Aeropuerto Barajas,True,4.4,1
ID5,Palacio del Sol,False,3.0,1
ID4,Hotel Encanto Real,False,3.0,1
ID0,Hotel Monte Verde,False,3.1,1
ID4,Hotel Encanto Real,False,3.0,1
ID24,ibis Madrid Aeropuerto Barajas,True,4.4,1
ID0,Hotel Monte Verde,False,3.1,1
ID2,Hotel Camino del Sol,False,3.1,1
ID6,Hotel Jardines del Rey,False,2.9,1
ID0,Hotel Monte Verde,False,3.1,1
ID18,Hotel Maravilla Real,False,3.0,1
ID15,Hotel Rincón Sereno,False,3.0,1
ID28,ibis budget Madrid Getafe,True,4.2,1
ID12,Hotel Los Almendros,False,3.0,1
ID23,ibis budget Madrid Vallecas,True,4.3,1
ID1,Hotel Brisas del Mar,False,3.1,1
ID4,Hotel Encanto Real,False,3.0,1
ID22,ibis Madrid Calle Alcalá,True,4.5,1
ID3,Hotel Puerta del Cielo,False,3.0,1
ID13,Hotel Sol y Luna,False,3.0,1
ID7,Hotel Las Estrellas,False,2.9,1
ID17,Hotel Costa Azul,False,3.1,1
ID4,Hotel Encanto Real,False,3.0,1
ID20,ibis Madrid Centro las Ventas,True,4.5,1
ID27,ibis Madrid Alcobendas,True,4.4,1
ID8,Gran Hotel Madrid,False,3.1,1
ID21,ibis budget Madrid Centro las Ventas,True,4.3,1
ID11,Hotel Luz de Madrid,False,3.0,1
ID25,ibis Madrid Alcorcon Tresaguas,True,4.4,1
ID5,Palacio del Sol,False,3.0,1
ID19,ibis budget Madrid Calle 30,True,4.4,1
ID8,Gran Hotel Madrid,False,3.1,1
ID4,Hotel Encanto Real,False,3.0,1
ID23,ibis budget Madrid Vallecas,True,4.3,1
ID6,Hotel Jardines del Rey,False,2.9,1
ID21,ibis budget Madrid Centro las Ventas,True,4.3,1
ID26,ibis budget Madrid Aeropuerto,True,4.0,1
ID18,Hotel Maravilla Real,False,3.0,1
ID15,Hotel Rincón Sereno,False,3.0,1
ID22,ibis Madrid Calle Alcalá,True,4.5,1
ID24,ibis Madrid Aeropuerto Barajas,True,4.4,1
ID3,Hotel Puerta del Cielo,False,3.0,1
ID13,Hotel Sol y Luna,False,3.0,1
ID21,ibis budget Madrid Centro las Ventas,True,4.3,1
ID2,Hotel Camino del Sol,False,3.1,1
ID1,Hotel Brisas del Mar,False,3.1,1
ID1,Hotel Brisas del Mar,False,3.1,1
ID8,Gran Hotel Madrid,False,3.1,1
ID4,Hotel Encanto Real,False,3.0,1
ID10,Hotel Palacio Imperial,False,3.0,1
ID9,Hotel Torre Dorada,False,2.9,1
ID9,Hotel Torre Dorada,False,2.9,1
ID23,ibis budget Madrid Vallecas,True,4.3,1
ID10,Hotel Palacio Imperial,False,3.0,1
ID1,Hotel Brisas del Mar,False,3.1,1
ID0,Hotel Monte Verde,False,3.1,1
ID3,Hotel Puerta del Cielo,False,3.0,1
ID19,ibis budget Madrid Calle 30,True,4.4,1
ID5,Palacio del Sol,False,3.0,1
ID25,ibis Madrid Alcorcon Tresaguas,True,4.4,1
ID12,Hotel Los Almendros,False,3.0,1
ID13,Hotel Sol y Luna,False,3.0,1
ID10,Hotel Palacio Imperial,False,3.0,1
ID7,Hotel Las Estrellas,False,2.9,1
ID27,ibis Madrid Alcobendas,True,4.4,1
ID24,ibis Madrid Aeropuerto Barajas,True,4.4,1
ID23,ibis budget Madrid Vallecas,True,4.3,1
ID18,Hotel Maravilla Real,False,3.0,1
ID3,Hotel Puerta del Cielo,False,3.0,1
ID5,Palacio del Sol,False,3.0,1
ID0,Hotel Monte Verde,False,3.1,1
ID19,ibis budget Madrid Calle 30,True,4.4,1
ID1,Hotel Brisas del Mar,False,3.1,1
ID4,Hotel Encanto Real,False,3.0,1
ID4,Hotel Encanto Real,False,3.0,1
ID5,Palacio del Sol,False,3.0,1
ID25,ibis Madrid Alcorcon Tresaguas,True,4.4,1
ID5,Palacio del Sol,False,3.0,1
ID21,ibis budget Madrid Centro las Ventas,True,4.3,1
ID9,Hotel Torre Dorada,False,2.9,1
ID8,Gran Hotel Madrid,False,3.1,1
ID17,Hotel Costa Azul,False,3.1,1
ID11,Hotel Luz de Madrid,False,3.0,1
ID11,Hotel Luz de Madrid,False,3.0,1
ID0,Hotel Monte Verde,False,3.1,1
ID8,Gran Hotel Madrid,False,3.1,1
ID4,Hotel Encanto Real,False,3.0,1
ID18,Hotel Maravilla Real,False,3.0,1
ID16,Hotel Vista Alegre,False,2.9,1
ID14,Hotel Mirador Real,False,3.0,1
ID3,Hotel Puerta del Cielo,False,3.0,1
ID20,ibis Madrid Centro las Ventas,True,4.5,1
ID26,ibis budget Madrid Aeropuerto,True,4.0,1
ID12,Hotel Los Almendros,False,3.0,1
ID4,Hotel Encanto Real,False,3.0,1
ID28,ibis budget Madrid Getafe,True,4.2,1
ID7,Hotel Las Estrellas,False,2.9,1
ID24,ibis Madrid Aeropuerto Barajas,True,4.4,1
ID21,ibis budget Madrid Centro las Ventas,True,4.3,1
ID2,Hotel Camino del Sol,False,3.1,1
ID10,Hotel Palacio Imperial,False,3.0,1
ID0,Hotel Monte Verde,False,3.1,1
ID11,Hotel Luz de Madrid,False,3.0,1
ID6,Hotel Jardines del Rey,False,2.9,1
ID13,Hotel Sol y Luna,False,3.0,1
ID21,ibis budget Madrid Centro las Ventas,True,4.3,1
ID28,ibis budget Madrid Getafe,True,4.2,1
ID23,ibis budget Madrid Vallecas,True,4.3,1
ID9,Hotel Torre Dorada,False,2.9,1
ID4,Hotel Encanto Real,False,3.0,1
ID7,Hotel Las Estrellas,False,2.9,1
ID3,Hotel Puerta del Cielo,False,3.0,1
ID28,ibis budget Madrid Getafe,True,4.2,1
ID8,Gran Hotel Madrid,False,3.1,1
ID23,ibis budget Madrid Vallecas,True,4.3,1
ID2,Hotel Camino del Sol,False,3.1,1
ID26,ibis budget Madrid Aeropuerto,True,4.0,1
ID25,ibis Madrid Alcorcon Tresaguas,True,4.4,1
ID7,Hotel Las Estrellas,False,2.9,1
ID15,Hotel Rincón Sereno,False,3.0,1
ID6,Hotel Jardines del Rey,False,2.9,1
ID2,Hotel Camino del Sol,False,3.1,1
ID10,Hotel Palacio Imperial,False,3.0,1
ID19,ibis budget Madrid Calle 30,True,4.4,1
ID19,ibis budget Madrid Calle 30,True,4.4,1
ID18,Hotel Maravilla Real,False,3.0,1
ID0,Hotel Monte Verde,False,3.1,1
ID13,Hotel Sol y Luna,False,3.0,1
ID12,Hotel Los Almendros,False,3.0,1
ID8,Gran Hotel Madrid,False,3.1,1
ID11,Hotel Luz de Madrid,False,3.0,1
ID13,Hotel Sol y Luna,False,3.0,1
ID4,Hotel Encanto Real,False,3.0,1
ID22,ibis Madrid Calle Alcalá,True,4.5,1
ID23,ibis budget Madrid Vallecas,True,4.3,1
ID1,Hotel Brisas del Mar,False,3.1,1
ID5,Palacio del Sol,False,3.0,1
ID18,Hotel Maravilla Real,False,3.0,1
ID9,Hotel Torre Dorada,False,2.9,1
ID21,ibis budget Madrid Centro las Ventas,True,4.3,1
ID2,Hotel Camino del Sol,False,3.1,1
ID24,ibis Madrid Aeropuerto Barajas,True,4.4,1
ID13,Hotel Sol y Luna,False,3.0,1
ID8,Gran Hotel Madrid,False,3.1,1
ID2,Hotel Camino del Sol,False,3.1,1
ID24,ibis Madrid Aeropuerto Barajas,True,4.4,1
ID3,Hotel Puerta del Cielo,False,3.0,1
ID24,ibis Madrid Aeropuerto Barajas,True,4.4,1
ID27,ibis Madrid Alcobendas,True,4.4,1
ID4,Hotel Encanto Real,False,3.0,1
ID22,ibis Madrid Calle Alcalá,True,4.5,1
ID8,Gran Hotel Madrid,False,3.1,1
ID2,Hotel Camino del Sol,False,3.1,1
ID7,Hotel Las Estrellas,False,2.9,1
ID4,Hotel Encanto Real,False,3.0,1
ID22,ibis Madrid Calle Alcalá,True,4.5,1
ID2,Hotel Camino del Sol,False,3.1,1
ID9,Hotel Torre Dorada,False,2.9,1
ID20,ibis Madrid Centro las Ventas,True,4.5,1
ID28,ibis budget Madrid Getafe,True,4.2,1
ID6,Hotel Jardines del Rey,False,2.9,1
ID2,Hotel Camino del Sol,False,3.1,1
ID7,Hotel Las Estrellas,False,2.9,1
ID20,ibis Madrid Centro las Ventas,True,4.5,1
ID1,Hotel Brisas del Mar,False,3.1,1
ID24,ibis Madrid Aeropuerto Barajas,True,4.4,1
ID13,Hotel Sol y Luna,False,3.0,1
ID26,ibis budget Madrid Aeropuerto,True,4.0,1
ID21,ibis budget Madrid Centro las Ventas,True,4.3,1
ID19,ibis budget Madrid Calle 30,True,4.4,1
ID18,Hotel Maravilla Real,False,3.0,1
ID1,Hotel Brisas del Mar,False,3.1,1
ID22,ibis Madrid Calle Alcalá,True,4.5,1
ID9,Hotel Torre Dorada,False,2.9,1
ID28,ibis budget Madrid Getafe,True,4.2,1
ID19,ibis budget Madrid Calle 30,True,4.4,1
ID9,Hotel Torre Dorada,False,2.9,1
ID0,Hotel Monte Verde,False,3.1,1
ID15,Hotel Rincón Sereno,False,3.0,1
ID9,Hotel Torre Dorada,False,2.9,1
ID17,Hotel Costa Azul,False,3.1,1
ID25,ibis Madrid Alcorcon Tresaguas,True,4.4,1
ID18,Hotel Maravilla Real,False,3.0,1
ID13,Hotel Sol y Luna,False,3.0,1
ID2,Hotel Camino del Sol,False,3.1,1
ID3,Hotel Puerta del Cielo,False,3.0,1
ID5,Palacio del Sol,False,3.0,1
ID5,Palacio del Sol,False,3.0,1
ID18,Hotel Maravilla Real,False,3.0,1
ID4,Hotel Encanto Real,False,3.0,1
ID3,Hotel Puerta del Cielo,False,3.0,1
ID28,ibis budget Madrid Getafe,True,4.2,1
ID7,Hotel Las Estrellas,False,2.9,1
ID15,Hotel Rincón Sereno,False,3.0,1
ID25,ibis Madrid Alcorcon Tresaguas,True,4.4,1
ID19,ibis budget Madrid Calle 30,True,4.4,1
ID14,Hotel Mirador Real,False,3.0,1
ID22,ibis Madrid Calle Alcalá,True,4.5,1
ID4,Hotel Encanto Real,False,3.0,1
ID18,Hotel Maravilla Real,False,3.0,1
ID8,Gran Hotel Madrid,False,3.1,1
ID13,Hotel Sol y Luna,False,3.0,1
ID18,Hotel Maravilla Real,False,3.0,1
ID16,Hotel Vista Alegre,False,2.9,1
ID25,ibis Madrid Alcorcon Tresaguas,True,4.4,1
ID0,Hotel Monte Verde,False,3.1,1
ID25,ibis Madrid Alcorcon Tresaguas,True,4.4,1
ID3,Hotel Puerta del Cielo,False,3.0,1
ID20,ibis Madrid Centro las Ventas,True,4.5,1
ID14,Hotel Mirador Real,False,3.0,1
ID27,ibis Madrid Alcobendas,True,4.4,1
ID0,Hotel Monte Verde,False,3.1,1
ID5,Palacio del Sol,False,3.0,1
ID13,Hotel Sol y Luna,False,3.0,1
ID8,Gran Hotel Madrid,False,3.1,1
ID9,Hotel Torre Dorada,False,2.9,1
ID5,Palacio del Sol,False,3.0,1
ID0,Hotel Monte Verde,False,3.1,1
